SMILES1,SMILES2,cocrystallization
Oc1ccccc1,C(=O)(NCCN)c1c(O)cccc1,1
C(=O)(O)C=CC(=O)O,c1cccc2n3c(nc12)CSCc1ccccc1C(C)=CCC3,1
C(c1ccccc1OC)(=O)O,c1ccc(C(O)=O)cn1,0
c1c(O)cc(C(=O)O)c(O)c1,c1cc(C)ncc1,1
c1(OC)cc(OC)cc(C(O)=O)c1,C(c1cc(C)c(C)cc1)(O)=O,0
n1c(=O)[nH]cc(F)c1N,[O-][N+](=O)c1cc([N+]([O-])=O)c(O)c([N+](=O)[O-])c1,1
OC(=O)C=Cc1cc(OC)c(O)cc1,c1(C(=O)O)c(=O)c2ccc(C)nc2n(CC)c1,0
c1([N+]([O-])=O)ccc(C)c([N+]([O-])=O)c1,c1ccc(C(=O)O)cc1,0
C1CCCCC12CNC(=O)C2,c1(C(=O)O)ccc(N)cc1,1
C1NCCNC1,C(C1C(C)(C)C(C(=O)O)(C)CC1)(O)=O,1
c1cc(C)c(C)c(N)c1,C(C(Cl)Cl)(=O)O,1
OC(c1ccc([N+]([O-])=O)cc1)=O,c1(N)cccc(C)n1,1
c1cc(CCN)ccc1O,c1(C(=O)O)ccc(Cl)cc1,1
c1c(C(N)=O)ccnc1,O=[N+](c1c(C2C(C(=O)OC)=C(C)NC(C)=C2C(=O)OC)cccc1)[O-],1
C(N)(CCC(O)=O)C(O)=O,Oc1ccccc1C(=O)N,0
OC1(CO)OC(CO)C(OC2C(O)C(O)C(O)C(CO)O2)C1O,c1c2c(ccc1)C=Cc1c(cccc1)N2C(=O)N,0
C1=Cc2ccccc2N(C(N)=O)c2c1cccc2,Clc1ccc(O)c(C(=O)O)c1,0
C(CCCCCC(=O)O)CC(=O)O,OC(=O)CCCCCCC(=O)O,0
O=C(O)C=CC(=O)O,[O-][N+](=O)c1ccc(C(O)=O)cc1,0
O=c1ccn(CC)c(=O)[nH]1,c1ccc(C(=O)O)c(O)c1,1
c1cccc(C(=O)O)c1OC,OC(=O)C(O)=O,0
n1c(Br)cnc(N)c1Br,C(CCCCCC(O)=O)CCCCC(O)=O,0
C(=O)(c1ccc(N)cc1)O,c1(N)cc(N)cc(C(O)=O)c1,0
c1cc(C=C2CN(C)CC(=Cc3ccncc3)C2=O)ccn1,OC(c1cc(O)cc(O)c1)=O,1
N(c1ccccc1)C(=O)N,c1cccc(C(=O)O)c1[N+]([O-])=O,1
c1ccc2c(c1)c1c(cc2)cccc1,[N+](c1cccc([N+]([O-])=O)c1)([O-])=O,0
OC(=O)C(N)CC(C)C,C1(Cl)=C(O)C(=O)C(Cl)=C(O)C1=O,1
c1ccc(CNc2cc(Cl)c(S(=O)(=O)N)cc2C(O)=O)o1,OC(C(=O)O)C(O)C(=O)O,0
C(O)(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,n1cc(I)c[nH]1,1
O=C(O)c1ccc(O)cc1,n1c(N)nc(C)cc1-c1cccnc1,1
O=C1NC2C34C(C(C)CCC3C1C)CCC(C)(OO4)O2,OC(c1ccccc1O)=O,1
[nH]1nnc2c1cccc2,c1c([N+]([O-])=O)c(O)c([N+](=O)[O-])cc1[N+](=O)[O-],1
NC(CCC(=O)N)=O,n1ccc(C(N)=O)cc1,0
c1cc(O)c([N+]([O-])=O)cc1,c1c(N)ccc(N)c1,0
c1c(N)c(C(O)=O)ccc1,c1cc(NC(C2=C(O)c3ccccc3S(=O)(=O)N2C)=O)ncc1,0
c1c2cc3c(cc2ccc1)cccc3,c1cc2c(ccc3ccccc23)c2ccccc12,0
c1(C)nc2c(cc1)cccc2,C(C(O)=O)=CC(=O)O,1
OC(c1c(N)cccc1)=O,C(O)(C=CC(O)=O)=O,0
c1([N+](=O)[O-])cc([N+]([O-])=O)ccc1,[N+](c1cc(C(=O)O)ccc1)(=O)[O-],0
OC(c1ccc([N+](=O)[O-])cc1)=O,C(=O)(CC(O)C(O)=O)O,0
O=C(CN1CCCC1=O)N,C(C(O)=O)(O)(CC(O)=O)CC(O)=O,1
CC(=O)Nc1ccc(O)cc1,C(N1c2c(cccc2)C=Cc2ccccc21)(=O)N,0
O=C(c1cc(F)ccc1)N,OCc1c(CO)c(O)c(C)nc1,0
OC(=O)C=CC(O)=O,n1nc(-c2ccncc2)oc1-c1ccncc1,1
c1([N+]([O-])=O)ccc(C(N)=O)cc1,O=C(O)C=CC(=O)O,0
c1cc(-c2ccccc2)ccc1,c1ccc([N+](=O)[O-])c(O)c1,0
C(C(C)c1ccc(CC(C)C)cc1)(=O)O,c1cc(Cl)ccc1Br,0
C(O)(=O)c1ccccc1,O=C1NC(=O)CC1,0
n1[nH]ccc1,c1(CC(=O)O)c(Nc2c(Cl)cccc2Cl)cccc1,0
c1cc(C)ccc1S(=O)(=O)O,c1c(C)nc(Nc2ccccc2)nc1C,1
c1c(C(=O)n2c3c(c(CC(=O)O)c2C)cc(OC)cc3)ccc(Cl)c1,N=C(NCCCC(N)C(=O)O)N,0
O=C(C(N)CCC(=O)O)O,c1ccc(C(N)=O)cc1[N+](=O)[O-],0
C(O)(=O)c1cccc(N)c1,C(CCCCCC)C(O)=O,0
c1c(OC)ccc2c1c(CC(O)=O)c(C)n2C(=O)c1ccc(Cl)cc1,C(C(O)=O)C(O)=O,0
C(N)(c1cccc([N+]([O-])=O)c1)=O,C(=O)(O)CCC(C(=O)O)N,0
c1c2c(ccc1Br)nc(N)s2,c1c([N+]([O-])=O)ccc(C(=O)O)c1,1
c1(F)c(-c2ccccc2)ccc(C(C)C(=O)O)c1,c1ncc(C(=O)O)cc1,0
O=C(OC(C)(C)C)NC1C[S+](C)CC1,OS(=O)(c1ccc(C)cc1)=O,1
c1ccc2c(cccc2)c1,C(CCCN)CCN,0
c1ccc(C(=O)O)cc1O,NC(c1c(O)cccc1)=O,0
C(C(CC(O)=O)O)(O)=O,c1(F)ccc(C(O)=O)cc1,0
c1(=O)c(C(O)=O)cn(CC)c2c1ccc(C)n2,C(=CC(=O)O)C(=O)O,0
C1C2N(C(=O)CN1C(C1CCCCC1)=O)CCc1ccccc12,C(CCCCCCCC(=O)O)CCC(=O)O,0
c1c([N+]([O-])=O)cc(C(O)=O)cc1[N+]([O-])=O,Nc1nc(N)nc(N)n1,1
C(C=CC(O)=O)(=O)O,C1(c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)N(CCCN(CCOc2ccc3c(c2)OCO3)C)C(=O)CS1,1
Fc1c(Br)c(F)c(F)c(Br)c1F,Cc1c(NC(=O)CN(CC)CC)c(C)ccc1,1
c1c2c(cccc2)ccc1,c12ccccc1c1c(cccc1)cc2,0
NC(CC(=O)N)=O,c1(C(=O)c2ccccc2)cc(C(C(=O)O)C)ccc1,0
c1c(OC)cc2c(cc(C(C)C(=O)O)cc2)c1,OC1=C(O)C(=O)C(C(O)CO)O1,0
c12ccccc1C1CN(C(=O)C3CCCCC3)CC(=O)N1CC2,O=C(C=CC(O)=O)O,1
c1ccc2c(c1)NC(C)CC(C)(C)N2,[O-][N+](c1cc([N+]([O-])=O)cc([N+]([O-])=O)c1O)=O,1
